Tuggeranong,BANKS,0,4,1,2,0,0,0,0,0,0,0,9,15,1,0,0,5,11,0,7,0,0,0,0,0,9,0,0,3,4,9,1,0,0,1,13,0,3,0,2,0,1,0,2,0,0,2,4,10,0,0,0,4,10,0,1,4,0,0,0,0,4,0,0,0,7,17,0,1,1,1,15,0,1,1,3,0,0,0,12,1,0,1,8,6,0,0,0,2,31,0,4,0,0,2,0,0,8,0,0,1,13,13,0,0,1,5,25,0,4,1,7,0,0,0,3,0,0,2,16,13,0,1,0,8,7,0,8,1,0,0,0,0,13,0,0,1,9,17,0,0,0,5,17,0,2,2,0,0,0,0,2,1,0,1,7,9,1,1,0,11,4,0,4,1,0,0,0,0,1,0,0,0,4,41,0,1,0,9,8,0,4,0,0,1,0,0,6,1,0,6,14,17,2,0,0,2,15,0,4,0,0,0,0,0,3,0,0,2,5,14,0,0,0,0,12,0,5,0,0,1,0,0,0,1,0,1,7,9,1,0,1,2,9,0,7,2,0,1,0,2,2,0,0,1,11,12,0,0,1,4,4,0,2,1,0,0,0,0,3,1,0,1,8,15,1,0,0,2,10,0,1,1,2,1,0,0,7,0,0,2,9,20,0,0,0,2,13,0,0,0,0,0,0,0,3,0,0,2,8,21,0,0,0,0,4,0,2,0,1,0,0,0,3,0,0,3,8,3,0,0,0,0,8
Tuggeranong,BONYTHON,0,2,2,0,0,0,0,0,0,0,6,15,14,2,0,0,9,13,0,5,3,0,0,0,0,8,0,0,1,12,17,7,0,1,19,9,0,3,4,1,0,0,0,10,0,0,4,11,10,13,2,0,15,19,0,0,1,1,0,0,0,5,0,0,1,9,29,12,1,0,13,14,0,2,0,11,0,0,0,1,0,0,3,9,21,2,1,0,2,7,0,1,2,0,0,1,0,4,0,0,3,12,7,8,1,0,5,7,0,4,1,0,2,0,0,6,0,0,0,11,24,3,0,0,10,12,0,3,1,5,0,0,0,1,0,0,1,5,9,3,0,0,8,10,0,0,3,2,1,0,0,0,1,0,1,7,8,1,0,0,3,9,0,3,0,0,0,1,0,4,0,0,2,6,15,5,3,0,7,21,0,1,1,1,2,2,0,2,1,0,8,16,14,7,1,0,12,23,0,2,4,0,0,1,0,5,1,0,0,5,33,15,1,0,7,13,0,6,4,0,4,4,1,9,0,0,11,6,19,4,0,0,12,9,0,3,2,0,2,0,0,2,0,1,2,8,23,5,2,0,25,7,0,1,2,1,0,0,0,3,0,3,8,2,36,9,1,0,13,19,0,3,0,0,0,0,0,0,0,1,3,7,20,8,0,0,7,8,0,2,0,2,1,0,0,7,0,1,4,11,13,3,0,0,3,12,0,7,2,2,0,1,0,1,0,2,4,7,19,0,0,0,0,10
Tuggeranong,CALWELL,0,2,2,1,0,0,1,4,1,1,2,13,14,1,1,0,12,28,0,1,1,2,0,0,0,4,0,1,5,24,43,2,0,0,20,36,0,5,2,1,0,1,0,3,0,1,7,23,41,2,1,0,18,37,0,5,2,0,0,0,0,4,0,2,3,21,15,4,2,1,4,49,1,3,0,0,0,1,0,9,0,3,7,19,30,0,0,0,7,42,0,1,3,0,1,2,0,6,0,4,4,26,33,3,0,0,9,52,0,0,5,2,0,1,0,6,0,4,0,12,37,5,0,0,12,37,0,7,6,0,4,0,0,2,0,8,2,21,22,4,0,0,12,38,0,1,2,0,0,0,0,4,0,5,2,10,15,1,2,1,10,42,0,2,1,2,0,0,0,4,1,1,3,21,27,0,1,0,5,31,0,3,6,0,1,1,0,3,2,0,4,14,25,1,0,0,5,26,0,10,11,0,1,1,0,3,0,0,4,11,43,1,0,0,7,26,0,7,1,0,3,3,0,6,0,0,5,22,23,1,0,0,7,19,0,3,3,5,0,0,0,4,0,1,4,13,45,3,1,0,2,19,0,5,1,2,2,1,0,6,0,0,4,21,30,4,0,0,9,35,0,3,2,3,0,1,0,2,1,0,4,11,26,0,0,1,4,31,0,5,2,5,1,1,0,7,0,1,6,10,25,0,0,0,2,46,1,0,3,0,0,1,0,7,1,2,5,12,26,0,0,0,0,43
Tuggeranong,CHISHOLM,0,3,1,1,0,0,0,6,1,1,4,20,25,3,0,0,20,30,0,4,4,2,0,0,0,9,3,1,1,14,40,0,1,0,17,30,0,3,4,1,0,0,0,2,0,1,4,14,51,1,1,0,23,17,0,5,1,5,2,0,1,3,0,1,9,11,22,1,0,0,8,29,0,4,2,0,0,1,0,1,1,0,4,20,20,3,0,0,11,35,0,5,0,1,0,0,0,4,2,2,4,18,27,4,1,0,19,83,0,2,3,5,0,0,0,9,1,1,3,10,12,2,2,0,17,30,0,7,3,1,1,0,0,2,1,0,5,21,29,1,1,1,7,27,0,7,5,1,0,0,0,8,0,0,5,11,38,1,1,0,11,32,0,11,1,2,1,0,0,7,2,0,6,18,40,2,0,0,9,46,0,5,6,0,1,1,0,5,0,1,7,8,43,3,1,0,9,30,0,9,4,1,1,1,0,9,0,1,4,15,52,1,0,0,8,26,0,5,4,1,1,0,0,10,3,0,7,12,32,0,1,0,13,31,0,6,6,0,1,2,0,0,0,1,10,16,50,0,1,0,14,25,0,4,5,0,1,0,2,9,0,0,5,9,47,1,0,0,20,17,0,2,0,3,0,0,0,2,0,5,5,10,36,1,1,0,14,20,0,8,0,1,0,2,0,3,2,1,8,4,32,0,0,0,0,28,0,1,0,4,1,0,0,6,1,0,3,12,35,0,0,0,0,17
Tuggeranong,CONDER,0,4,5,0,0,0,0,2,0,0,1,13,22,0,1,0,14,22,0,0,9,1,0,0,0,6,0,1,3,9,18,3,0,0,14,33,0,3,2,1,0,0,0,2,0,0,2,9,19,2,1,0,3,32,0,7,1,0,0,0,1,3,1,0,5,14,24,1,0,0,9,41,0,2,3,0,0,0,0,1,0,0,1,18,19,2,2,0,11,46,0,7,2,9,3,0,0,2,3,0,5,19,14,0,1,1,7,37,0,10,1,3,1,0,0,7,2,0,0,14,18,0,0,0,13,28,0,7,6,4,0,0,1,4,3,0,6,20,22,1,1,1,6,38,0,5,4,2,5,2,0,0,3,2,1,17,28,0,1,1,9,17,0,4,4,0,1,1,0,5,1,0,4,8,22,0,0,1,6,26,0,12,8,4,2,0,0,3,0,0,6,22,27,1,1,2,4,43,0,9,3,0,3,0,1,6,0,0,3,9,19,4,0,0,4,11,0,8,3,2,0,1,1,2,1,0,4,17,18,0,0,1,5,18,0,2,9,0,1,4,0,5,0,1,7,13,25,2,1,0,6,19,0,10,4,3,1,0,0,3,0,0,6,7,31,0,1,0,8,25,0,5,6,0,0,2,0,2,0,1,7,9,34,0,0,0,3,14,0,2,5,1,2,0,0,3,0,2,2,2,40,0,0,0,1,17,0,5,3,1,1,1,0,2,1,3,2,6,18,0,0,0,0,7
Tuggeranong,FADDEN,0,0,1,1,0,0,0,1,1,0,0,1,14,1,0,0,2,3,0,0,0,0,0,0,0,4,0,2,3,5,7,2,0,0,6,7,0,0,0,0,0,0,0,3,0,0,1,8,15,1,0,0,14,5,0,0,0,1,1,0,0,4,0,1,3,6,4,1,0,1,5,6,0,1,2,0,0,1,0,4,1,0,2,5,12,1,1,0,6,12,0,0,0,0,1,0,0,5,0,2,3,10,5,0,0,0,3,20,0,0,0,0,0,0,0,4,0,0,3,3,23,2,0,0,8,12,0,1,0,1,1,0,0,2,1,0,1,11,8,1,0,0,10,6,0,3,0,2,0,0,0,1,1,0,2,5,5,3,0,0,8,6,0,1,1,0,0,0,0,0,0,0,1,10,9,3,0,0,6,8,0,3,1,2,0,0,0,1,1,0,0,9,5,0,1,0,7,7,0,3,1,0,0,0,0,0,1,0,2,4,10,5,0,0,1,7,0,0,0,0,0,0,0,2,0,1,1,4,16,2,2,0,4,9,0,0,0,1,1,0,0,2,0,0,2,7,18,0,0,0,4,10,0,0,0,0,0,0,0,1,0,0,10,1,14,0,0,0,5,12,0,1,0,0,0,0,0,2,0,1,2,4,9,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,3,0,4,0,0,0,0,0,4,0,0,1,4,4,0,0,0,0,10
Tuggeranong,GILMORE,0,0,1,1,0,0,1,3,0,0,0,9,11,4,0,0,6,7,0,5,0,0,0,0,0,0,0,0,0,4,17,14,1,0,11,7,0,2,2,1,0,0,0,2,0,0,1,4,14,18,1,0,7,5,0,2,1,4,0,0,0,5,0,0,3,11,13,12,0,0,4,16,0,3,0,0,1,0,0,2,0,0,1,8,11,8,0,0,6,13,0,2,1,1,0,0,0,4,0,0,3,8,19,11,2,0,8,12,0,2,0,1,0,0,0,1,0,0,1,8,21,9,0,0,18,9,0,2,1,0,0,0,0,1,0,0,1,7,7,0,0,1,15,5,0,1,1,0,0,0,0,0,0,0,0,3,14,4,0,0,5,7,0,2,2,0,2,0,0,2,0,0,2,6,21,1,1,0,19,10,0,4,2,0,1,0,0,1,0,0,1,5,29,5,0,0,2,6,0,9,4,7,0,0,0,2,0,0,1,4,10,5,2,0,3,9,0,1,1,0,0,0,1,9,0,1,7,7,6,1,0,0,1,10,0,1,2,0,0,0,0,1,0,0,2,10,23,4,0,0,6,9,0,3,0,0,0,0,0,0,0,1,0,7,12,6,0,0,14,5,0,7,2,0,0,0,0,1,0,0,1,6,13,1,0,0,17,4,0,0,0,1,2,0,0,2,0,0,3,5,15,2,0,0,0,2,0,2,0,0,0,0,0,3,0,0,5,11,12,0,0,0,0,12
Tuggeranong,GORDON,0,4,1,0,0,0,0,3,0,0,3,13,23,1,1,2,9,15,0,5,1,0,0,0,0,3,0,0,2,15,26,1,0,0,7,14,0,5,1,6,0,0,0,4,0,1,7,15,37,2,2,3,28,22,0,7,6,4,0,0,0,3,0,0,4,20,33,1,4,2,9,28,1,8,1,0,0,0,0,6,0,0,1,27,34,3,0,0,13,34,0,6,2,3,0,0,0,5,0,3,6,18,21,1,0,0,13,30,0,3,2,1,0,0,0,5,0,2,4,12,14,5,1,0,27,22,0,4,7,0,0,0,0,4,0,0,3,15,52,4,0,1,26,16,0,14,4,0,4,0,0,3,0,0,2,13,46,2,1,0,10,15,0,9,2,3,1,0,0,7,0,0,3,9,20,2,1,0,13,16,0,3,2,4,0,1,0,1,1,1,7,9,21,1,4,0,12,12,0,11,4,1,3,0,0,5,0,0,3,11,32,4,0,0,4,14,1,14,4,2,1,0,1,3,0,0,10,17,27,0,0,0,4,24,0,7,2,0,2,1,1,5,0,0,1,13,23,15,1,0,6,6,0,5,5,2,0,1,0,5,0,1,6,12,51,3,0,0,23,17,0,7,6,1,1,0,0,6,0,0,3,17,27,2,0,0,14,15,0,10,3,1,2,0,0,4,0,1,9,20,36,1,0,0,8,10,0,3,3,2,2,1,0,2,0,0,4,8,28,0,0,0,0,9
Tuggeranong,GOWRIE,0,2,0,1,0,0,0,5,0,4,4,15,9,5,0,1,27,12,0,4,0,2,0,1,0,7,2,0,1,4,38,4,1,1,20,11,0,4,2,2,0,0,0,6,0,0,2,3,37,0,0,0,20,11,0,0,1,0,0,0,0,6,0,0,3,5,33,2,0,1,16,7,0,1,1,0,0,1,0,9,0,0,1,8,18,2,1,0,3,17,0,1,1,0,0,0,0,3,0,0,2,6,8,1,0,1,11,16,0,2,0,0,0,0,0,2,0,0,5,9,19,0,0,0,5,6,0,1,2,0,0,1,0,5,0,0,1,12,11,0,0,0,12,9,0,0,0,0,0,0,0,2,0,0,1,4,12,0,0,0,6,7,0,2,1,4,0,0,0,1,0,3,2,5,10,6,0,0,6,10,0,3,0,0,0,0,0,0,1,3,3,12,20,0,2,0,5,10,0,4,1,1,1,0,0,1,1,0,0,5,23,0,2,0,6,7,0,2,1,0,0,0,0,7,0,0,5,5,24,1,0,0,9,5,0,2,2,0,0,0,0,3,0,2,6,7,38,4,1,0,9,11,0,1,2,0,0,0,0,3,1,0,2,4,14,1,0,1,3,11,0,4,1,0,1,0,0,3,0,0,1,11,17,1,0,0,0,4,0,2,0,0,0,0,0,1,0,0,3,3,5,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,1,3,4,0,0,0,0,7
Tuggeranong,GREENWAY,0,3,17,2,1,1,1,2,2,1,1,35,58,44,9,3,38,84,0,3,19,1,0,0,0,2,2,4,0,7,51,40,8,4,45,75,0,5,7,1,0,0,1,6,2,3,7,27,180,64,10,1,71,73,0,1,7,2,4,0,0,1,2,2,4,22,77,10,6,3,48,99,0,7,11,1,2,0,1,0,0,2,2,25,80,25,6,4,34,74,0,0,9,4,1,0,0,5,4,5,7,33,52,15,2,2,40,86,0,2,13,3,1,0,0,10,3,4,6,24,80,49,6,3,54,113,0,4,25,26,5,0,0,1,5,9,2,25,60,8,6,1,38,102,0,7,13,6,2,0,0,6,4,4,1,21,78,10,3,1,41,75,0,1,5,1,7,1,1,4,1,2,7,38,63,24,7,1,30,81,0,3,22,7,2,0,1,5,3,3,5,27,86,23,10,3,34,100,0,9,20,3,0,2,2,5,1,3,6,31,82,11,2,3,29,93,0,10,22,6,4,0,3,5,2,1,9,43,91,4,6,1,23,109,0,6,11,3,5,1,0,14,4,4,6,28,102,12,5,5,59,86,0,1,6,2,0,1,0,0,1,0,17,20,89,19,6,0,37,56,0,4,8,2,0,0,2,2,0,1,4,27,71,7,4,1,34,55,0,7,10,3,0,2,1,1,5,2,3,24,85,1,1,1,15,76,0,7,9,1,1,1,2,2,2,2,4,12,188,0,0,0,0,50
Tuggeranong,ISABELLA PLAINS,0,4,0,0,0,0,0,5,0,3,1,10,12,5,2,1,17,9,0,2,0,0,0,1,0,7,0,0,2,7,38,5,2,0,17,17,0,1,2,1,0,0,1,1,0,0,3,6,15,1,0,1,21,21,0,2,3,1,2,0,0,4,0,0,2,14,15,9,0,0,14,21,0,1,0,0,0,0,0,1,0,1,4,4,19,0,0,0,9,14,0,2,0,0,0,0,0,4,0,0,2,5,22,4,0,1,11,22,0,0,6,11,0,0,0,3,0,0,0,9,11,5,2,0,11,8,0,4,3,0,1,0,0,4,0,0,2,19,16,2,0,0,12,15,0,2,2,1,0,0,0,4,2,5,3,21,14,1,0,1,10,12,0,3,1,4,0,0,0,7,0,1,7,5,18,2,0,0,12,17,0,0,0,1,1,0,0,1,0,1,2,16,15,2,0,0,9,21,0,4,0,1,0,1,0,1,0,0,1,4,20,2,1,0,7,6,0,4,1,0,0,0,0,5,1,1,0,6,24,3,1,0,5,17,0,29,0,4,2,0,2,1,0,0,0,17,42,10,1,0,12,9,0,6,0,1,0,2,0,4,0,6,1,9,15,3,1,0,24,12,0,4,2,0,0,0,0,2,0,7,4,11,16,3,0,0,15,10,0,9,0,0,2,2,0,6,0,2,4,6,20,0,1,1,0,9,0,1,4,0,2,0,0,1,0,4,3,9,21,0,0,0,0,5
Tuggeranong,KAMBAH,0,11,12,9,0,1,0,19,4,1,8,37,58,14,10,0,67,61,0,4,6,2,0,1,0,15,6,0,8,38,55,15,7,0,53,45,0,7,7,8,1,0,0,21,5,6,6,37,83,31,10,0,72,66,0,9,7,8,1,0,0,18,3,4,12,32,71,6,6,2,41,63,0,8,5,1,0,4,1,17,2,3,12,42,205,18,7,2,33,96,0,14,16,12,2,4,1,29,2,8,27,57,119,11,6,3,57,106,0,16,6,20,4,1,0,24,1,4,7,53,97,35,9,0,84,59,0,20,5,1,4,0,0,6,0,7,10,46,74,29,11,3,53,98,1,23,5,2,1,0,2,10,1,6,6,47,66,30,10,0,36,79,0,25,5,1,0,3,1,14,1,4,10,42,98,12,11,0,29,98,0,11,11,3,3,0,0,19,0,5,10,64,111,14,12,1,54,128,0,27,13,6,2,2,4,29,4,5,13,67,86,6,7,0,39,80,0,23,13,6,2,2,0,32,1,6,20,51,127,10,8,1,36,85,0,10,7,1,2,4,0,19,2,24,18,38,161,39,4,2,57,82,0,12,9,3,2,0,0,10,0,4,14,45,168,43,4,2,67,80,0,15,13,3,1,1,0,8,0,4,19,39,116,21,9,0,35,66,0,16,10,11,1,2,1,21,1,6,16,43,74,11,0,0,8,71,0,18,7,3,6,0,0,17,0,6,17,47,104,0,0,0,0,57
Tuggeranong,MACARTHUR,0,1,0,0,0,0,0,1,0,0,0,2,6,0,0,0,2,5,0,0,1,0,0,0,0,1,0,0,1,0,1,11,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,5,2,25,0,0,4,8,0,1,0,0,0,0,0,0,0,0,1,0,5,1,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,5,13,0,0,0,4,0,1,5,0,0,0,0,0,0,0,2,1,2,8,0,0,4,5,0,0,0,0,1,0,0,0,0,0,0,2,1,10,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,3,1,4,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0,0,7,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3,5,2,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,3,6,4,2,1,6,4,0,4,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,5,0,2,0,0,0,0,0,0,0,0,1,3,3,6,0,0,2,10,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,4,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,5
Tuggeranong,MONASH,0,4,1,1,1,0,0,11,2,0,4,16,22,1,1,0,6,25,0,1,0,0,0,1,0,5,0,1,1,15,18,4,2,0,12,25,0,0,1,0,1,1,0,5,0,0,7,17,9,1,1,0,11,22,0,1,1,0,0,0,0,4,0,0,3,8,21,5,0,0,5,18,0,2,1,0,0,0,0,3,0,0,4,12,28,3,2,0,4,34,0,2,1,1,2,0,0,9,0,0,9,14,20,4,0,0,12,24,0,0,4,0,0,0,0,5,2,0,6,10,22,0,1,0,6,25,0,5,0,0,0,0,0,7,0,2,2,15,29,0,1,1,19,14,0,2,0,1,0,1,0,6,1,2,4,22,20,1,2,0,5,26,0,1,0,1,1,1,0,3,0,3,2,3,16,2,0,0,6,16,0,5,4,1,2,0,0,6,1,1,5,5,20,1,2,0,5,17,0,1,0,1,1,0,0,5,1,1,1,8,6,1,0,0,3,21,0,8,0,0,1,0,0,5,0,0,0,11,11,1,0,0,9,12,0,2,1,0,0,0,0,3,0,1,3,10,20,1,1,0,9,17,0,1,2,0,0,0,0,2,0,1,3,6,10,3,1,0,6,9,0,2,1,1,0,1,0,5,0,0,9,10,29,3,0,0,2,26,0,6,4,3,1,0,0,6,0,1,7,7,19,0,0,0,0,16,0,2,1,1,1,0,0,0,0,1,2,3,3,0,0,0,0,10
Tuggeranong,OXLEY,0,2,1,1,0,0,0,2,0,0,4,1,2,1,1,0,5,8,0,3,0,0,0,0,0,1,0,0,1,6,10,2,0,0,2,1,0,2,0,0,0,0,0,2,0,0,0,8,6,1,0,0,8,5,0,1,0,8,0,0,0,0,0,0,3,0,13,0,1,0,5,6,0,1,0,0,1,0,0,1,0,0,0,8,1,1,1,0,2,7,0,1,1,0,0,0,0,5,0,0,2,3,5,3,0,0,7,5,0,0,1,0,0,0,0,1,0,1,2,3,7,4,0,0,7,9,0,7,0,0,0,0,0,3,0,0,0,5,6,2,0,0,5,5,0,1,0,0,2,0,0,3,0,0,0,6,10,0,0,0,4,12,0,0,0,0,2,0,0,1,0,0,2,5,9,3,0,0,2,8,0,2,2,1,1,0,0,1,0,0,1,7,11,0,1,0,10,15,0,3,0,0,1,0,0,2,0,0,0,9,10,0,0,0,0,3,0,2,1,0,0,0,0,2,0,0,4,2,5,2,2,0,5,3,0,2,1,1,0,0,0,2,0,0,2,4,15,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,9,4,0,0,6,4,0,0,1,0,0,0,0,2,0,0,0,6,8,1,0,0,9,15,0,1,0,0,1,0,0,3,0,0,0,5,3,1,0,0,0,5,0,1,0,2,0,0,1,1,0,0,0,3,18,0,0,0,0,3
Tuggeranong,RICHARDSON,0,4,0,0,0,0,0,6,0,1,3,13,21,3,0,1,18,15,0,0,1,0,0,1,0,3,1,1,1,11,26,2,1,0,8,10,0,2,1,1,1,1,1,4,0,0,3,14,38,0,1,1,19,8,0,8,2,0,1,1,0,5,0,0,3,9,17,0,0,0,6,15,0,1,1,0,0,0,0,4,0,0,1,10,20,0,1,0,7,11,0,2,0,0,0,0,0,3,0,0,4,17,23,1,0,0,9,18,0,2,3,0,3,0,0,5,0,0,5,8,34,1,0,1,9,15,0,1,1,1,0,0,0,3,1,0,4,4,36,0,0,0,9,7,0,3,3,0,2,0,0,1,0,0,1,2,14,2,0,0,6,1,0,2,0,0,0,0,0,3,0,0,6,5,22,2,0,0,4,9,0,7,5,0,0,0,0,1,0,1,7,6,43,0,0,0,6,2,0,5,4,0,1,0,0,2,0,0,0,9,14,0,0,1,7,1,0,9,9,0,2,0,0,3,0,0,2,15,32,3,1,1,11,17,0,9,6,0,17,0,0,1,0,0,2,20,32,3,0,0,3,5,0,6,1,4,0,0,0,7,0,0,0,4,18,2,1,0,7,15,0,5,3,0,0,0,0,4,0,0,2,7,17,3,0,1,5,13,0,2,2,1,0,0,0,1,0,0,0,2,16,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,1,2,40,0,0,0,0,5
Tuggeranong,THEODORE,0,1,0,0,0,0,0,5,0,1,1,12,9,0,0,0,2,19,0,4,0,0,0,0,0,1,0,0,0,12,14,3,0,0,5,14,0,3,1,0,0,0,0,5,0,0,2,9,8,10,0,0,9,17,0,4,2,1,0,0,0,2,0,0,1,13,14,2,1,0,6,11,0,2,2,1,2,0,0,3,0,0,2,8,8,0,0,0,2,12,0,1,1,0,1,0,0,7,1,1,2,10,10,3,0,0,2,11,0,6,7,0,1,0,0,4,0,0,2,3,23,1,0,0,8,11,0,6,2,0,2,0,0,1,0,1,4,12,15,1,0,0,3,16,0,2,0,1,0,0,0,1,0,0,4,9,2,2,1,0,1,9,0,5,2,1,0,0,0,2,0,0,3,15,13,0,0,0,1,16,0,6,4,0,0,0,0,4,0,0,0,11,10,8,1,0,2,13,0,4,1,0,1,0,0,4,0,0,2,8,7,2,1,0,4,16,0,8,1,4,4,0,0,1,0,0,6,5,8,0,0,0,2,6,0,0,2,0,0,0,0,2,0,0,2,5,17,5,0,0,4,12,0,6,3,0,0,0,0,0,0,0,1,10,12,6,0,0,5,6,0,0,1,1,0,0,0,9,0,0,1,13,11,1,0,0,2,12,0,1,1,1,1,0,0,2,0,0,3,3,5,0,1,0,0,7,0,7,1,0,0,0,0,5,1,0,2,5,14,0,0,0,0,10
Tuggeranong,WANNIASSA,0,4,16,0,2,2,4,9,5,4,5,33,70,1,0,3,51,67,0,7,8,0,1,1,0,8,2,2,1,24,64,8,1,0,37,82,0,2,5,3,1,0,0,5,6,2,0,22,70,27,2,0,49,74,0,5,11,5,0,0,0,6,2,2,6,20,60,4,0,2,48,111,1,1,7,1,0,0,0,2,1,1,3,24,58,4,5,0,32,64,0,4,10,0,0,1,1,10,4,6,5,36,47,3,0,1,32,83,0,4,9,0,1,1,0,5,7,3,6,33,65,2,2,2,30,71,0,5,7,0,0,0,1,11,6,3,6,35,56,5,0,0,41,73,0,9,12,0,1,0,0,5,6,1,2,32,75,2,4,0,28,74,0,6,8,3,0,4,0,8,2,3,9,24,57,8,2,1,36,90,0,14,12,1,5,0,1,3,0,3,11,18,59,5,3,0,21,80,0,9,8,2,12,0,0,8,1,1,8,28,72,4,2,0,25,55,0,6,9,2,0,2,0,12,2,3,11,37,93,1,0,1,30,70,0,9,20,1,0,0,0,13,6,8,9,30,83,4,1,1,33,69,0,9,3,1,1,2,4,5,2,2,16,24,87,7,2,1,33,61,0,13,9,3,3,0,0,11,3,1,6,7,42,0,1,0,11,71,0,6,4,1,1,6,1,3,3,2,6,21,67,0,0,0,3,75,0,8,4,2,0,2,1,8,2,1,10,21,40,0,0,0,0,107
Weston Creek,CHAPMAN,0,0,0,0,0,0,0,1,0,0,1,2,8,2,1,0,1,4,0,0,0,0,0,0,0,2,1,0,0,2,2,1,1,1,6,2,0,0,1,0,0,0,0,1,1,1,0,7,1,3,0,0,4,6,0,3,0,4,0,0,0,2,0,2,1,6,0,1,0,0,3,19,0,0,0,0,0,0,0,4,1,0,2,4,4,2,0,0,2,19,0,0,0,0,0,0,0,2,1,0,1,2,10,1,1,0,4,13,0,1,0,0,0,0,0,3,0,2,1,5,5,1,0,0,1,9,0,0,1,0,0,0,0,1,0,0,1,3,4,0,0,0,3,12,0,1,0,0,0,0,0,0,0,5,0,1,157,0,0,0,0,9,0,0,0,2,0,0,0,1,0,1,0,2,1,0,0,0,0,7,0,1,0,0,0,0,0,4,0,0,2,5,3,0,0,0,4,7,0,1,0,0,2,0,0,1,1,0,0,1,4,0,0,0,5,6,0,0,0,0,0,1,1,1,1,0,0,7,5,0,0,0,0,7,0,0,0,1,1,0,0,0,1,0,0,11,2,0,0,0,1,4,0,1,2,0,0,0,0,0,0,0,3,7,8,1,0,0,4,5,0,0,3,0,0,0,0,3,0,0,4,2,20,0,0,1,0,7,0,0,0,0,0,0,0,3,0,1,3,3,3,0,0,0,1,5,0,0,0,0,0,0,0,4,0,0,1,1,4,0,0,0,0,8
